x_m,y_m,reachable,error_code,feasible_yaw_deg,manipulability
0.0400,0.0600,0,-31,-1.0,0.00000
0.0600,0.0600,0,-31,-1.0,0.00000
0.0800,0.0600,1,1,120.0,0.00088
0.1000,0.0600,1,1,120.0,0.00088
0.1200,0.0600,1,1,90.0,0.00078
0.1400,0.0600,1,1,90.0,0.00055
0.1600,0.0600,1,1,90.0,0.00017
0.1800,0.0600,1,1,90.0,0.00037
0.2000,0.0600,1,1,90.0,0.00110
0.2200,0.0600,1,1,90.0,0.00203
0.2400,0.0600,1,1,90.0,0.00316
0.2600,0.0600,1,1,90.0,0.00450
0.2800,0.0600,1,1,90.0,0.00604
0.3000,0.0600,1,1,90.0,0.00777
0.3200,0.0600,1,1,90.0,0.00967
0.3400,0.0600,1,1,90.0,0.01171
0.3600,0.0600,0,-31,-1.0,0.00000
0.3800,0.0600,0,-31,-1.0,0.00000
0.4000,0.0600,0,-31,-1.0,0.00000
0.4200,0.0600,0,-31,-1.0,0.00000
0.4400,0.0600,0,-31,-1.0,0.00000
0.4600,0.0600,0,-31,-1.0,0.00000
0.4800,0.0600,0,-31,-1.0,0.00000
0.5000,0.0600,0,-31,-1.0,0.00000
0.5200,0.0600,0,-31,-1.0,0.00000
-0.0800,0.0800,1,1,0.0,0.00089
-0.0600,0.0800,1,1,0.0,0.00088
-0.0400,0.0800,1,1,0.0,0.00084
-0.0200,0.0800,0,-31,-1.0,0.00000
0.0000,0.0800,0,-31,-1.0,0.00000
0.0200,0.0800,0,-31,-1.0,0.00000
0.0400,0.0800,1,1,0.0,0.00084
0.0600,0.0800,1,1,120.0,0.00088
0.0800,0.0800,1,1,120.0,0.00089
0.1000,0.0800,1,1,120.0,0.00083
0.1200,0.0800,1,1,120.0,0.00067
0.1400,0.0800,1,1,90.0,0.00039
0.1600,0.0800,1,1,90.0,0.00004
0.1800,0.0800,1,1,90.0,0.00063
0.2000,0.0800,1,1,90.0,0.00140
0.2200,0.0800,1,1,90.0,0.00236
0.2400,0.0800,1,1,90.0,0.00353
0.2600,0.0800,1,1,90.0,0.00489
0.2800,0.0800,1,1,90.0,0.00645
0.3000,0.0800,1,1,90.0,0.00820
0.3200,0.0800,1,1,90.0,0.01010
0.3400,0.0800,1,1,90.0,0.01214
0.3600,0.0800,1,1,90.0,0.01426
0.3800,0.0800,1,1,90.0,0.01640
0.4000,0.0800,1,1,90.0,0.01846
0.4200,0.0800,0,-31,-1.0,0.00000
0.4400,0.0800,0,-31,-1.0,0.00000
0.4600,0.0800,0,-31,-1.0,0.00000
0.4800,0.0800,0,-31,-1.0,0.00000
0.5000,0.0800,0,-31,-1.0,0.00000
0.5200,0.0800,0,-31,-1.0,0.00000
-0.0800,0.1000,1,1,0.0,0.00083
-0.0600,0.1000,1,1,0.0,0.00088
-0.0400,0.1000,1,1,0.0,0.00089
-0.0200,0.1000,1,1,0.0,0.00089
0.0000,0.1000,1,1,0.0,0.00088
0.0200,0.1000,1,1,0.0,0.00089
0.0400,0.1000,1,1,0.0,0.00089
0.0600,0.1000,1,1,120.0,0.00088
0.0800,0.1000,1,1,120.0,0.00083
0.1000,0.1000,1,1,120.0,0.00071
0.1200,0.1000,1,1,120.0,0.00049
0.1400,0.1000,1,1,120.0,0.00015
0.1600,0.1000,1,1,120.0,0.00034
0.1800,0.1000,1,1,90.0,0.00098
0.2000,0.1000,1,1,90.0,0.00180
0.2200,0.1000,1,1,90.0,0.00281
0.2400,0.1000,1,1,90.0,0.00401
0.2600,0.1000,1,1,90.0,0.00540
0.2800,0.1000,1,1,90.0,0.00699
0.3000,0.1000,1,1,90.0,0.00875
0.3200,0.1000,1,1,90.0,0.01066
0.3400,0.1000,1,1,90.0,0.01269
0.3600,0.1000,1,1,90.0,0.01480
0.3800,0.1000,1,1,90.0,0.01690
0.4000,0.1000,1,1,90.0,0.01890
0.4200,0.1000,0,-31,-1.0,0.00000
0.4400,0.1000,0,-31,-1.0,0.00000
0.4600,0.1000,0,-31,-1.0,0.00000
0.4800,0.1000,0,-31,-1.0,0.00000
0.5000,0.1000,0,-31,-1.0,0.00000
0.5200,0.1000,0,-31,-1.0,0.00000
-0.0800,0.1200,1,1,0.0,0.00067
-0.0600,0.1200,1,1,0.0,0.00078
-0.0400,0.1200,1,1,0.0,0.00084
-0.0200,0.1200,1,1,0.0,0.00086
0.0000,0.1200,1,1,0.0,0.00087
0.0200,0.1200,1,1,0.0,0.00086
0.0400,0.1200,1,1,0.0,0.00084
0.0600,0.1200,1,1,0.0,0.00078
0.0800,0.1200,1,1,120.0,0.00067
0.1000,0.1200,1,1,120.0,0.00049
0.1200,0.1200,1,1,120.0,0.00020
0.1400,0.1200,1,1,120.0,0.00020
0.1600,0.1200,1,1,120.0,0.00074
0.1800,0.1200,1,1,120.0,0.00144
0.2000,0.1200,1,1,120.0,0.00231
0.2200,0.1200,1,1,90.0,0.00337
0.2400,0.1200,1,1,90.0,0.00461
0.2600,0.1200,1,1,90.0,0.00604
0.2800,0.1200,1,1,90.0,0.00765
0.3000,0.1200,1,1,90.0,0.00942
0.3200,0.1200,1,1,90.0,0.01134
0.3400,0.1200,1,1,90.0,0.01336
0.3600,0.1200,1,1,90.0,0.01544
0.3800,0.1200,1,1,90.0,0.01749
0.4000,0.1200,1,1,90.0,0.01942
0.4200,0.1200,0,-31,-1.0,0.00000
0.4400,0.1200,0,-31,-1.0,0.00000
0.4600,0.1200,0,-31,-1.0,0.00000
0.4800,0.1200,0,-31,-1.0,0.00000
0.5000,0.1200,0,-31,-1.0,0.00000
0.5200,0.1200,0,-31,-1.0,0.00000
-0.0800,0.1400,1,1,0.0,0.00039
-0.0600,0.1400,1,1,0.0,0.00055
-0.0400,0.1400,1,1,0.0,0.00065
-0.0200,0.1400,1,1,0.0,0.00071
0.0000,0.1400,1,1,0.0,0.00072
0.0200,0.1400,1,1,0.0,0.00071
0.0400,0.1400,1,1,0.0,0.00065
0.0600,0.1400,1,1,0.0,0.00055
0.0800,0.1400,1,1,0.0,0.00039
0.1000,0.1400,1,1,120.0,0.00015
0.1200,0.1400,1,1,120.0,0.00020
0.1400,0.1400,1,1,120.0,0.00067
0.1600,0.1400,1,1,120.0,0.00127
0.1800,0.1400,1,1,120.0,0.00203
0.2000,0.1400,1,1,120.0,0.00296
0.2200,0.1400,1,1,120.0,0.00406
0.2400,0.1400,1,1,120.0,0.00534
0.2600,0.1400,1,1,90.0,0.00681
0.2800,0.1400,1,1,90.0,0.00844
0.3000,0.1400,1,1,90.0,0.01023
0.3200,0.1400,1,1,90.0,0.01214
0.3400,0.1400,1,1,90.0,0.01414
0.3600,0.1400,1,1,90.0,0.01618
0.3800,0.1400,1,1,90.0,0.01816
0.4000,0.1400,1,1,90.0,0.01999
0.4200,0.1400,0,-31,-1.0,0.00000
0.4400,0.1400,0,-31,-1.0,0.00000
0.4600,0.1400,0,-31,-1.0,0.00000
0.4800,0.1400,0,-31,-1.0,0.00000
0.5000,0.1400,0,-31,-1.0,0.00000
0.5200,0.1400,0,-31,-1.0,0.00000
-0.0800,0.1600,1,1,30.0,0.00004
-0.0600,0.1600,1,1,0.0,0.00017
-0.0400,0.1600,1,1,0.0,0.00031
-0.0200,0.1600,1,1,0.0,0.00039
0.0000,0.1600,1,1,0.0,0.00041
0.0200,0.1600,1,1,0.0,0.00039
0.0400,0.1600,1,1,0.0,0.00031
0.0600,0.1600,1,1,0.0,0.00017
0.0800,0.1600,1,1,180.0,0.00004
0.1000,0.1600,1,1,120.0,0.00034
0.1200,0.1600,1,1,120.0,0.00074
0.1400,0.1600,1,1,120.0,0.00127
0.1600,0.1600,1,1,120.0,0.00194
0.1800,0.1600,1,1,120.0,0.00276
0.2000,0.1600,1,1,120.0,0.00374
0.2200,0.1600,1,1,120.0,0.00489
0.2400,0.1600,1,1,120.0,0.00621
0.2600,0.1600,1,1,120.0,0.00771
0.2800,0.1600,1,1,90.0,0.00936
0.3000,0.1600,1,1,90.0,0.01116
0.3200,0.1600,1,1,90.0,0.01306
0.3400,0.1600,1,1,90.0,0.01503
0.3600,0.1600,1,1,90.0,0.01701
0.3800,0.1600,1,1,90.0,0.01890
0.4000,0.1600,1,1,90.0,0.02060
0.4200,0.1600,0,-31,-1.0,0.00000
0.4400,0.1600,0,-31,-1.0,0.00000
0.4600,0.1600,0,-31,-1.0,0.00000
0.4800,0.1600,0,-31,-1.0,0.00000
0.5000,0.1600,0,-31,-1.0,0.00000
0.5200,0.1600,0,-31,-1.0,0.00000
-0.0800,0.1800,1,1,0.0,0.00063
-0.0600,0.1800,1,1,0.0,0.00037
-0.0400,0.1800,1,1,0.0,0.00020
-0.0200,0.1800,1,1,0.0,0.00010
0.0000,0.1800,1,1,0.0,0.00007
0.0200,0.1800,1,1,0.0,0.00010
0.0400,0.1800,1,1,0.0,0.00020
0.0600,0.1800,1,1,0.0,0.00037
0.0800,0.1800,1,1,0.0,0.00063
0.1000,0.1800,1,1,0.0,0.00098
0.1200,0.1800,1,1,120.0,0.00144
0.1400,0.1800,1,1,120.0,0.00203
0.1600,0.1800,1,1,120.0,0.00276
0.1800,0.1800,1,1,120.0,0.00363
0.2000,0.1800,1,1,120.0,0.00467
0.2200,0.1800,1,1,120.0,0.00586
0.2400,0.1800,1,1,120.0,0.00723
0.2600,0.1800,1,1,120.0,0.00875
0.2800,0.1800,1,1,120.0,0.01041
0.3000,0.1800,1,1,120.0,0.01220
0.3200,0.1800,1,1,90.0,0.01408
0.3400,0.1800,1,1,90.0,0.01601
0.3600,0.1800,1,1,90.0,0.01791
0.3800,0.1800,1,1,90.0,0.01969
0.4000,0.1800,1,1,90.0,0.02122
0.4200,0.1800,0,-31,-1.0,0.00000
0.4400,0.1800,0,-31,-1.0,0.00000
0.4600,0.1800,0,-31,-1.0,0.00000
0.4800,0.1800,0,-31,-1.0,0.00000
0.5000,0.1800,0,-31,-1.0,0.00000
0.5200,0.1800,0,-31,-1.0,0.00000
-0.0800,0.2000,1,1,0.0,0.00140
-0.0600,0.2000,1,1,0.0,0.00110
-0.0400,0.2000,1,1,0.0,0.00090
-0.0200,0.2000,1,1,0.0,0.00078
0.0000,0.2000,1,1,0.0,0.00074
0.0200,0.2000,1,1,0.0,0.00078
0.0400,0.2000,1,1,0.0,0.00090
0.0600,0.2000,1,1,0.0,0.00110
0.0800,0.2000,1,1,0.0,0.00140
0.1000,0.2000,1,1,0.0,0.00180
0.1200,0.2000,1,1,120.0,0.00231
0.1400,0.2000,1,1,120.0,0.00296
0.1600,0.2000,1,1,120.0,0.00374
0.1800,0.2000,1,1,120.0,0.00467
0.2000,0.2000,1,1,120.0,0.00575
0.2200,0.2000,1,1,120.0,0.00699
0.2400,0.2000,1,1,120.0,0.00838
0.2600,0.2000,1,1,120.0,0.00992
0.2800,0.2000,1,1,120.0,0.01159
0.3000,0.2000,1,1,120.0,0.01336
0.3200,0.2000,1,1,120.0,0.01520
0.3400,0.2000,1,1,120.0,0.01706
0.3600,0.2000,1,1,90.0,0.01885
0.3800,0.2000,1,1,90.0,0.02048
0.4000,0.2000,1,1,90.0,0.02180
0.4200,0.2000,0,-31,-1.0,0.00000
0.4400,0.2000,0,-31,-1.0,0.00000
0.4600,0.2000,0,-31,-1.0,0.00000
0.4800,0.2000,0,-31,-1.0,0.00000
0.5000,0.2000,0,-31,-1.0,0.00000
0.5200,0.2000,0,-31,-1.0,0.00000
-0.0800,0.2200,1,1,0.0,0.00236
-0.0600,0.2200,1,1,0.0,0.00203
-0.0400,0.2200,1,1,0.0,0.00180
-0.0200,0.2200,1,1,0.0,0.00166
0.0000,0.2200,1,1,0.0,0.00162
0.0200,0.2200,1,1,0.0,0.00166
0.0400,0.2200,1,1,0.0,0.00180
0.0600,0.2200,1,1,0.0,0.00203
0.0800,0.2200,1,1,0.0,0.00236
0.1000,0.2200,1,1,0.0,0.00281
0.1200,0.2200,1,1,0.0,0.00337
0.1400,0.2200,1,1,120.0,0.00406
0.1600,0.2200,1,1,120.0,0.00489
0.1800,0.2200,1,1,120.0,0.00586
0.2000,0.2200,1,1,120.0,0.00699
0.2200,0.2200,1,1,120.0,0.00826
0.2400,0.2200,1,1,120.0,0.00967
0.2600,0.2200,1,1,120.0,0.01122
0.2800,0.2200,1,1,120.0,0.01288
0.3000,0.2200,1,1,120.0,0.01462
0.3200,0.2200,1,1,120.0,0.01640
0.3400,0.2200,1,1,120.0,0.01816
0.3600,0.2200,1,1,120.0,0.01982
0.3800,0.2200,1,1,120.0,0.02125
0.4000,0.2200,0,-31,-1.0,0.00000
0.4200,0.2200,0,-31,-1.0,0.00000
0.4400,0.2200,0,-31,-1.0,0.00000
0.4600,0.2200,0,-31,-1.0,0.00000
0.4800,0.2200,0,-31,-1.0,0.00000
0.5000,0.2200,0,-31,-1.0,0.00000
0.5200,0.2200,0,-31,-1.0,0.00000
-0.0800,0.2400,1,1,0.0,0.00353
-0.0600,0.2400,1,1,0.0,0.00316
-0.0400,0.2400,1,1,0.0,0.00291
-0.0200,0.2400,1,1,0.0,0.00276
0.0000,0.2400,1,1,0.0,0.00271
0.0200,0.2400,1,1,0.0,0.00276
0.0400,0.2400,1,1,0.0,0.00291
0.0600,0.2400,1,1,0.0,0.00316
0.0800,0.2400,1,1,0.0,0.00353
0.1000,0.2400,1,1,0.0,0.00401
0.1200,0.2400,1,1,0.0,0.00461
0.1400,0.2400,1,1,120.0,0.00534
0.1600,0.2400,1,1,120.0,0.00621
0.1800,0.2400,1,1,120.0,0.00723
0.2000,0.2400,1,1,120.0,0.00838
0.2200,0.2400,1,1,120.0,0.00967
0.2400,0.2400,1,1,120.0,0.01109
0.2600,0.2400,1,1,120.0,0.01263
0.2800,0.2400,1,1,120.0,0.01426
0.3000,0.2400,1,1,120.0,0.01595
0.3200,0.2400,1,1,120.0,0.01765
0.3400,0.2400,1,1,120.0,0.01928
0.3600,0.2400,1,1,120.0,0.02075
0.3800,0.2400,1,1,120.0,0.02194
0.4000,0.2400,0,-31,-1.0,0.00000
0.4200,0.2400,0,-31,-1.0,0.00000
0.4400,0.2400,0,-31,-1.0,0.00000
0.4600,0.2400,0,-31,-1.0,0.00000
0.4800,0.2400,0,-31,-1.0,0.00000
0.5000,0.2400,0,-31,-1.0,0.00000
0.5200,0.2400,0,-31,-1.0,0.00000
-0.0800,0.2600,1,1,0.0,0.00489
-0.0600,0.2600,1,1,0.0,0.00450
-0.0400,0.2600,1,1,0.0,0.00422
-0.0200,0.2600,1,1,0.0,0.00406
0.0000,0.2600,1,1,0.0,0.00401
0.0200,0.2600,1,1,0.0,0.00406
0.0400,0.2600,1,1,0.0,0.00422
0.0600,0.2600,1,1,0.0,0.00450
0.0800,0.2600,1,1,0.0,0.00489
0.1000,0.2600,1,1,0.0,0.00540
0.1200,0.2600,1,1,0.0,0.00604
0.1400,0.2600,1,1,0.0,0.00681
0.1600,0.2600,1,1,120.0,0.00771
0.1800,0.2600,1,1,120.0,0.00875
0.2000,0.2600,1,1,120.0,0.00992
0.2200,0.2600,1,1,120.0,0.01122
0.2400,0.2600,1,1,120.0,0.01263
0.2600,0.2600,1,1,120.0,0.01414
0.2800,0.2600,1,1,120.0,0.01572
0.3000,0.2600,1,1,120.0,0.01733
0.3200,0.2600,1,1,120.0,0.01890
0.3400,0.2600,1,1,120.0,0.02036
0.3600,0.2600,1,1,120.0,0.02160
0.3800,0.2600,1,1,120.0,0.02246
0.4000,0.2600,0,-31,-1.0,0.00000
0.4200,0.2600,0,-31,-1.0,0.00000
0.4400,0.2600,0,-31,-1.0,0.00000
0.4600,0.2600,0,-31,-1.0,0.00000
0.4800,0.2600,0,-31,-1.0,0.00000
0.5000,0.2600,0,-31,-1.0,0.00000
0.5200,0.2600,0,-31,-1.0,0.00000
-0.0800,0.2800,1,1,0.0,0.00645
-0.0600,0.2800,1,1,0.0,0.00604
-0.0400,0.2800,1,1,0.0,0.00575
-0.0200,0.2800,1,1,0.0,0.00557
0.0000,0.2800,1,1,0.0,0.00552
0.0200,0.2800,1,1,0.0,0.00557
0.0400,0.2800,1,1,0.0,0.00575
0.0600,0.2800,1,1,0.0,0.00604
0.0800,0.2800,1,1,0.0,0.00645
0.1000,0.2800,1,1,0.0,0.00699
0.1200,0.2800,1,1,0.0,0.00765
0.1400,0.2800,1,1,0.0,0.00844
0.1600,0.2800,1,1,0.0,0.00936
0.1800,0.2800,1,1,120.0,0.01041
0.2000,0.2800,1,1,120.0,0.01159
0.2200,0.2800,1,1,120.0,0.01288
0.2400,0.2800,1,1,120.0,0.01426
0.2600,0.2800,1,1,120.0,0.01572
0.2800,0.2800,1,1,120.0,0.01722
0.3000,0.2800,1,1,120.0,0.01871
0.3200,0.2800,1,1,120.0,0.02012
0.3400,0.2800,1,1,120.0,0.02135
0.3600,0.2800,1,1,120.0,0.02228
0.3800,0.2800,1,1,120.0,0.02270
0.4000,0.2800,0,-31,-1.0,0.00000
0.4200,0.2800,0,-31,-1.0,0.00000
0.4400,0.2800,0,-31,-1.0,0.00000
0.4600,0.2800,0,-31,-1.0,0.00000
0.4800,0.2800,0,-31,-1.0,0.00000
0.5000,0.2800,0,-31,-1.0,0.00000
0.5200,0.2800,0,-31,-1.0,0.00000
-0.0800,0.3000,1,1,0.0,0.00820
-0.0600,0.3000,1,1,0.0,0.00777
-0.0400,0.3000,1,1,0.0,0.00747
-0.0200,0.3000,1,1,0.0,0.00729
0.0000,0.3000,1,1,0.0,0.00723
0.0200,0.3000,1,1,0.0,0.00729
0.0400,0.3000,1,1,0.0,0.00747
0.0600,0.3000,1,1,0.0,0.00777
0.0800,0.3000,1,1,0.0,0.00820
0.1000,0.3000,1,1,0.0,0.00875
0.1200,0.3000,1,1,0.0,0.00942
0.1400,0.3000,1,1,0.0,0.01023
0.1600,0.3000,1,1,0.0,0.01116
0.1800,0.3000,1,1,120.0,0.01220
0.2000,0.3000,1,1,120.0,0.01336
0.2200,0.3000,1,1,120.0,0.01462
0.2400,0.3000,1,1,120.0,0.01595
0.2600,0.3000,1,1,120.0,0.01733
0.2800,0.3000,1,1,120.0,0.01871
0.3000,0.3000,1,1,120.0,0.02003
0.3200,0.3000,1,1,120.0,0.02122
0.3400,0.3000,1,1,120.0,0.02215
0.3600,0.3000,1,1,120.0,0.02267
0.3800,0.3000,1,1,120.0,0.02250
0.4000,0.3000,0,-31,-1.0,0.00000
0.4200,0.3000,0,-31,-1.0,0.00000
0.4400,0.3000,0,-31,-1.0,0.00000
0.4600,0.3000,0,-31,-1.0,0.00000
0.4800,0.3000,0,-31,-1.0,0.00000
0.5000,0.3000,0,-31,-1.0,0.00000
0.5200,0.3000,0,-31,-1.0,0.00000
